gis_survey_id,zoning_classification,master_plan_approval,property_tax_id
S.No 300/1,Agricultural,APPROVED,TAX-90009
S.No 300/2,Waterbody_Buffer,UNAPPROVED,TAX-92021
S.No 300/3,Commercial,APPROVED,TAX-58957
S.No 300/4,Waterbody_Buffer,UNAPPROVED,TAX-98965
S.No 300/5,Waterbody_Buffer,UNAPPROVED,TAX-52270
S.No 301/1,Agricultural,PENDING_APPROVAL,TAX-57421
S.No 301/2,Waterbody_Buffer,UNAPPROVED,TAX-69893
S.No 301/3,Waterbody_Buffer,UNAPPROVED,TAX-75575
S.No 301/4,Waterbody_Buffer,UNAPPROVED,TAX-87952
S.No 301/5,Waterbody_Buffer,UNAPPROVED,TAX-87346
S.No 302/1,Agricultural,APPROVED,TAX-84100
S.No 302/2,Waterbody_Buffer,UNAPPROVED,TAX-82343
S.No 302/3,Commercial,APPROVED,TAX-64928
S.No 302/4,Agricultural,APPROVED,TAX-94889
S.No 302/5,Agricultural,PENDING_APPROVAL,TAX-69263
S.No 303/1,Commercial,APPROVED,TAX-75666
S.No 303/2,Waterbody_Buffer,UNAPPROVED,TAX-65923
S.No 303/3,Residential,PENDING_APPROVAL,TAX-60629
S.No 303/4,Residential,APPROVED,TAX-89946
S.No 303/5,Residential,APPROVED,TAX-80806
S.No 304/1,Residential,APPROVED,TAX-81747
S.No 304/2,Waterbody_Buffer,UNAPPROVED,TAX-97004
S.No 304/3,Waterbody_Buffer,UNAPPROVED,TAX-91256
S.No 304/4,Waterbody_Buffer,UNAPPROVED,TAX-55075
S.No 304/5,Waterbody_Buffer,UNAPPROVED,TAX-83301
S.No 305/1,Waterbody_Buffer,UNAPPROVED,TAX-56210
S.No 305/2,Residential,APPROVED,TAX-54532
S.No 305/3,Agricultural,APPROVED,TAX-58072
S.No 305/4,Waterbody_Buffer,UNAPPROVED,TAX-72492
S.No 305/5,Waterbody_Buffer,UNAPPROVED,TAX-91770
S.No 306/1,Commercial,APPROVED,TAX-84065
S.No 306/2,Waterbody_Buffer,UNAPPROVED,TAX-59606
S.No 306/3,Agricultural,PENDING_APPROVAL,TAX-62029
S.No 306/4,Residential,PENDING_APPROVAL,TAX-93730
S.No 306/5,Agricultural,PENDING_APPROVAL,TAX-95255
