survey_number,last_doc_number,guideline_value_sqft,encumbrance_status,registered_market_val
S.No 300/1,DOC/473/2023,3500,MORTGAGED,2861416.88
S.No 300/2,DOC/475/2020,5000,CLEAR,6984132.48
S.No 300/3,DOC/324/2020,5000,CLEAR,1118774.55
S.No 300/4,DOC/156/2024,4200,CLEAR,302352.48
S.No 300/5,DOC/304/2020,3500,CLEAR,3525071.03
S.No 301/1,DOC/321/2019,4200,CLEAR,2283276.6
S.No 301/2,DOC/881/2019,4200,CLEAR,2024855.4
S.No 301/3,DOC/677/2019,5000,MORTGAGED,653075.83
S.No 301/4,DOC/529/2023,4200,CLEAR,881045.14
S.No 301/5,DOC/406/2022,6500,CLEAR,794245.98
S.No 302/1,DOC/713/2018,5000,CLEAR,811979.13
S.No 302/2,DOC/734/2018,4200,CLEAR,646382.8
S.No 302/3,DOC/598/2022,3500,CLEAR,1403294.49
S.No 302/4,DOC/203/2022,6500,CLEAR,1020910.41
S.No 302/5,DOC/993/2024,6500,CLEAR,1343985.7
S.No 303/1,DOC/536/2023,5000,CLEAR,400375.09
S.No 303/2,DOC/236/2019,4200,MORTGAGED,636859.36
S.No 303/3,DOC/253/2019,3500,CLEAR,524000.18
S.No 303/4,DOC/837/2020,3500,CLEAR,115526.26
S.No 303/5,DOC/585/2021,5000,CLEAR,78005.9
S.No 304/1,DOC/666/2021,5000,MORTGAGED,2277513.76
S.No 304/2,DOC/322/2020,3500,CLEAR,5795680.0
S.No 304/3,DOC/151/2019,6500,CLEAR,403260.8
S.No 304/4,DOC/746/2021,6500,CLEAR,423986.4
S.No 304/5,DOC/428/2019,3500,MORTGAGED,3854571.0
S.No 305/1,DOC/224/2024,3500,CLEAR,17758.7
S.No 305/2,DOC/891/2021,3500,CLEAR,127643.1
S.No 305/3,DOC/235/2020,5000,CLEAR,91297.8
S.No 305/4,DOC/556/2024,6500,CLEAR,36776.28
S.No 305/5,DOC/466/2022,5000,CLEAR,82114.97
S.No 306/1,DOC/734/2019,4200,CLEAR,64413.75
S.No 306/2,DOC/360/2019,5000,CLEAR,193491.48
S.No 306/3,DOC/335/2018,6500,CLEAR,113681.8
S.No 306/4,DOC/311/2019,4200,MORTGAGED,35716.16
S.No 306/5,DOC/564/2024,4200,CLEAR,40716.27
S.No 307/1,DOC/628/2021,3500,MORTGAGED,108103.71
S.No 307/2,DOC/640/2018,3500,MORTGAGED,227334.12
S.No 307/3,DOC/135/2018,4200,MORTGAGED,60051.82
S.No 307/4,DOC/299/2019,5000,CLEAR,121303.5
S.No 307/5,DOC/134/2023,4200,CLEAR,138074.8
S.No 308/1,DOC/308/2022,5000,MORTGAGED,48543.0
S.No 308/2,DOC/809/2021,3500,CLEAR,96728.31
S.No 308/3,DOC/734/2023,3500,CLEAR,409565.52
S.No 308/4,DOC/784/2021,3500,CLEAR,120503.24
S.No 308/5,DOC/299/2022,4200,MORTGAGED,146488.86
S.No 309/1,DOC/764/2023,4200,CLEAR,20649.77
S.No 309/2,DOC/187/2019,3500,CLEAR,44128.0
S.No 309/3,DOC/292/2024,5000,CLEAR,95634.84
S.No 309/4,DOC/615/2023,5000,MORTGAGED,86079.5
S.No 309/5,DOC/518/2019,5000,CLEAR,54024.78
S.No 310/1,DOC/394/2020,3500,CLEAR,91609.57
S.No 310/2,DOC/468/2024,4200,CLEAR,62451.91
S.No 310/3,DOC/428/2018,6500,CLEAR,53719.65
S.No 310/4,DOC/251/2023,3500,CLEAR,175561.65
S.No 310/5,DOC/415/2024,4200,CLEAR,247830.12
S.No 311/1,DOC/997/2021,6500,CLEAR,177882.68
S.No 311/2,DOC/200/2018,4200,CLEAR,69500.0
S.No 311/3,DOC/241/2021,4200,CLEAR,105576.73
S.No 311/4,DOC/451/2023,4200,CLEAR,69648.32
S.No 311/5,DOC/201/2021,4200,CLEAR,58327.31
S.No 312/1,DOC/581/2020,4200,CLEAR,478218.16
S.No 312/2,DOC/537/2020,6500,CLEAR,414837.75
S.No 312/3,DOC/203/2018,3500,CLEAR,410467.75
S.No 312/4,DOC/652/2022,4200,CLEAR,199299.6
S.No 312/5,DOC/747/2022,3500,CLEAR,1848223.68
S.No 313/1,DOC/466/2020,3500,MORTGAGED,2354296.08
S.No 313/2,DOC/102/2018,6500,CLEAR,4949200.55
S.No 313/3,DOC/546/2018,6500,MORTGAGED,313724.8
S.No 313/4,DOC/515/2021,4200,CLEAR,165404.44
S.No 313/5,DOC/933/2023,5000,CLEAR,131265.0
S.No 314/1,DOC/349/2021,3500,CLEAR,254661.75
S.No 314/2,DOC/652/2021,6500,CLEAR,716320.56
S.No 314/3,DOC/396/2018,4200,CLEAR,1014172.59
S.No 314/4,DOC/457/2020,3500,CLEAR,39022.1
S.No 314/5,DOC/210/2024,3500,CLEAR,67659.56
S.No 315/1,DOC/232/2018,5000,CLEAR,54242.7
S.No 315/2,DOC/461/2019,4200,CLEAR,62063.68
S.No 315/3,DOC/949/2023,5000,CLEAR,50066.24
S.No 315/4,DOC/479/2022,3500,CLEAR,49339.84
S.No 315/5,DOC/117/2019,6500,CLEAR,64787.36
S.No 316/1,DOC/731/2018,3500,MORTGAGED,50181.6
S.No 316/2,DOC/820/2022,3500,MORTGAGED,42095.45
S.No 316/3,DOC/634/2020,5000,CLEAR,67554.08
S.No 316/4,DOC/868/2021,5000,CLEAR,42106.4
S.No 316/5,DOC/591/2019,3500,MORTGAGED,44528.96
S.No 317/1,DOC/340/2021,4200,CLEAR,66631.84
S.No 317/2,DOC/378/2019,4200,CLEAR,52165.32
S.No 317/3,DOC/717/2020,4200,CLEAR,41644.96
S.No 317/4,DOC/539/2018,6500,CLEAR,67669.36
S.No 317/5,DOC/264/2020,5000,CLEAR,53088.6
S.No 318/1,DOC/839/2022,6500,CLEAR,40393.5
S.No 318/2,DOC/476/2024,4200,MORTGAGED,44286.72
S.No 318/3,DOC/263/2023,3500,MORTGAGED,45602.75
S.No 318/4,DOC/660/2022,6500,CLEAR,52142.72
S.No 318/5,DOC/960/2020,6500,MORTGAGED,37392.84
S.No 319/1,DOC/757/2022,6500,CLEAR,42999.44
S.No 319/2,DOC/930/2021,6500,MORTGAGED,37838.08
S.No 319/3,DOC/700/2023,6500,CLEAR,52821.14
S.No 319/4,DOC/814/2018,6500,MORTGAGED,64629.6
S.No 319/5,DOC/941/2021,5000,CLEAR,65041.2
S.No 320/1,DOC/742/2018,5000,CLEAR,38679.1
S.No 320/2,DOC/894/2023,3500,CLEAR,47565.4
S.No 320/3,DOC/104/2018,4200,CLEAR,58031.11
S.No 320/4,DOC/517/2018,3500,CLEAR,35530.88
S.No 320/5,DOC/476/2022,6500,CLEAR,36313.2
S.No 321/1,DOC/912/2020,3500,MORTGAGED,66937.8
S.No 321/2,DOC/759/2018,4200,CLEAR,60799.99
S.No 321/3,DOC/765/2022,3500,MORTGAGED,48323.27
S.No 321/4,DOC/591/2022,5000,CLEAR,38964.64
S.No 321/5,DOC/751/2022,6500,CLEAR,59945.6
S.No 322/1,DOC/150/2024,4200,CLEAR,56455.05
S.No 322/2,DOC/611/2023,4200,CLEAR,63041.16
S.No 322/3,DOC/844/2021,6500,MORTGAGED,56396.37
S.No 322/4,DOC/508/2019,5000,CLEAR,45105.76
S.No 322/5,DOC/417/2019,5000,CLEAR,36944.0
S.No 323/1,DOC/474/2020,3500,MORTGAGED,48417.6
S.No 323/2,DOC/281/2021,5000,CLEAR,65344.7
S.No 323/3,DOC/919/2019,3500,CLEAR,39253.0
S.No 323/4,DOC/841/2018,5000,MORTGAGED,57795.36
S.No 323/5,DOC/871/2020,5000,CLEAR,64607.2
S.No 324/1,DOC/312/2021,3500,CLEAR,45837.62
S.No 324/2,DOC/333/2022,3500,MORTGAGED,56801.4
S.No 324/3,DOC/842/2023,5000,CLEAR,48566.56
S.No 324/4,DOC/200/2021,5000,CLEAR,74137.63
S.No 324/5,DOC/254/2022,3500,MORTGAGED,38299.52
S.No 325/1,DOC/828/2020,4200,MORTGAGED,39483.9
S.No 325/2,DOC/765/2023,4200,CLEAR,44152.24
S.No 325/3,DOC/203/2022,5000,CLEAR,53259.36
S.No 325/4,DOC/123/2023,6500,CLEAR,55569.78
S.No 325/5,DOC/519/2022,5000,CLEAR,53725.14
S.No 326/1,DOC/574/2018,6500,CLEAR,61140.8
S.No 326/2,DOC/576/2023,3500,CLEAR,59415.55
S.No 326/3,DOC/591/2020,5000,MORTGAGED,50011.5
S.No 326/4,DOC/550/2022,3500,CLEAR,456949.35
S.No 326/5,DOC/913/2020,4200,MORTGAGED,67732.2
S.No 327/1,DOC/365/2024,5000,CLEAR,35571.6
S.No 327/2,DOC/309/2018,4200,MORTGAGED,115231.46
S.No 327/3,DOC/426/2018,4200,CLEAR,38207.7
S.No 327/4,DOC/137/2018,3500,CLEAR,34606.03
S.No 327/5,DOC/630/2020,6500,CLEAR,23146.9
S.No 328/1,DOC/731/2022,3500,CLEAR,51051.0
S.No 328/2,DOC/741/2018,4200,CLEAR,63422.6
S.No 328/3,DOC/506/2024,4200,CLEAR,87993.86
S.No 328/4,DOC/299/2020,4200,CLEAR,73749.5
S.No 328/5,DOC/926/2020,3500,MORTGAGED,84408.43
S.No 329/1,DOC/798/2022,4200,CLEAR,187924.22
S.No 329/2,DOC/701/2022,5000,CLEAR,119437.92
S.No 329/3,DOC/126/2021,5000,CLEAR,70018.2
S.No 329/4,DOC/474/2023,4200,CLEAR,61604.55
S.No 329/5,DOC/277/2019,3500,CLEAR,19529.94
S.No 330/1,DOC/659/2023,4200,CLEAR,18541.05
S.No 330/2,DOC/179/2021,6500,CLEAR,285146.4
S.No 330/3,DOC/204/2020,3500,CLEAR,160783.32
S.No 330/4,DOC/586/2022,6500,CLEAR,96895.65
S.No 330/5,DOC/237/2019,4200,CLEAR,65134.1
S.No 331/1,DOC/802/2019,4200,MORTGAGED,192574.92
S.No 331/2,DOC/903/2019,5000,MORTGAGED,184710.0
S.No 331/3,DOC/349/2020,5000,CLEAR,46284.52
S.No 331/4,DOC/537/2024,5000,MORTGAGED,136521.84
S.No 331/5,DOC/176/2021,6500,CLEAR,165210.76
S.No 332/1,DOC/333/2018,5000,MORTGAGED,322413.63
S.No 332/2,DOC/866/2023,3500,CLEAR,120314.1
S.No 332/3,DOC/995/2018,6500,MORTGAGED,299440.8
S.No 332/4,DOC/632/2018,6500,CLEAR,168381.28
S.No 332/5,DOC/193/2024,4200,MORTGAGED,131072.5
S.No 333/1,DOC/411/2019,4200,CLEAR,54317.85
S.No 333/2,DOC/681/2023,4200,CLEAR,24965.85
S.No 333/3,DOC/272/2018,5000,CLEAR,110627.3
S.No 333/4,DOC/734/2022,4200,CLEAR,10133.97
S.No 333/5,DOC/390/2021,3500,MORTGAGED,33203.44
S.No 334/1,DOC/405/2024,6500,MORTGAGED,30922.33
S.No 334/2,DOC/777/2019,4200,CLEAR,587481.96
S.No 334/3,DOC/558/2023,6500,MORTGAGED,133586.18
S.No 334/4,DOC/809/2020,4200,CLEAR,212499.82
S.No 334/5,DOC/389/2020,3500,CLEAR,395971.8
S.No 335/1,DOC/343/2024,6500,MORTGAGED,281830.26
S.No 335/2,DOC/272/2020,4200,CLEAR,145340.56
S.No 335/3,DOC/292/2020,5000,MORTGAGED,165142.4
S.No 335/4,DOC/267/2023,6500,CLEAR,78954.78
S.No 335/5,DOC/305/2019,4200,MORTGAGED,289534.01
S.No 336/1,DOC/584/2020,6500,MORTGAGED,641125.8
S.No 336/2,DOC/722/2023,5000,CLEAR,384629.44
S.No 336/3,DOC/402/2020,5000,CLEAR,140250.04
S.No 336/4,DOC/233/2019,4200,CLEAR,108161.16
S.No 336/5,DOC/791/2024,6500,CLEAR,460844.8
S.No 337/1,DOC/965/2021,3500,CLEAR,468716.22
S.No 337/2,DOC/286/2018,4200,CLEAR,407940.26
S.No 337/3,DOC/377/2022,6500,CLEAR,177875.88
S.No 337/4,DOC/656/2022,4200,CLEAR,1270565.0
S.No 337/5,DOC/400/2019,4200,CLEAR,496116.72
S.No 338/1,DOC/920/2023,5000,CLEAR,827137.64
S.No 338/2,DOC/335/2020,5000,CLEAR,497548.44
S.No 338/3,DOC/356/2021,6500,MORTGAGED,207090.18
S.No 338/4,DOC/199/2023,3500,MORTGAGED,698059.68
S.No 338/5,DOC/184/2023,4200,CLEAR,653753.52
S.No 339/1,DOC/628/2019,5000,CLEAR,818548.73
S.No 339/2,DOC/575/2019,5000,CLEAR,151003.92
S.No 339/3,DOC/375/2024,5000,CLEAR,91763.54
S.No 339/4,DOC/447/2023,5000,MORTGAGED,34876.4
S.No 339/5,DOC/699/2023,4200,MORTGAGED,154246.08
